instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,total_hour
30.0,2011-01-02,1,0,1,6.0,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2.0
31.0,2011-01-02,1,0,1,7.0,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,1.0
32.0,2011-01-02,1,0,1,8.0,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,8.0
33.0,2011-01-02,1,0,1,9.0,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,20.0
34.0,2011-01-02,1,0,1,10.0,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,53.0
35.0,2011-01-02,1,0,1,11.0,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,70.0
36.0,2011-01-02,1,0,1,12.0,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,93.0
37.0,2011-01-02,1,0,1,13.0,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,75.0
38.0,2011-01-02,1,0,1,14.0,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,59.0
39.0,2011-01-02,1,0,1,15.0,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,74.0
40.0,2011-01-02,1,0,1,16.0,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,76.0
41.0,2011-01-02,1,0,1,17.0,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,65.0
42.0,2011-01-02,1,0,1,18.0,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,53.0
43.0,2011-01-02,1,0,1,19.0,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,30.0
44.0,2011-01-02,1,0,1,20.0,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,22.0
45.0,2011-01-02,1,0,1,21.0,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,31.0
46.0,2011-01-02,1,0,1,22.0,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,9.0
47.0,2011-01-02,1,0,1,23.0,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,8.0
48.0,2011-01-03,1,0,1,0.0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,5.0
49.0,2011-01-03,1,0,1,1.0,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2.0
50.0,2011-01-03,1,0,1,4.0,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,1.0
51.0,2011-01-03,1,0,1,5.0,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3.0
52.0,2011-01-03,1,0,1,6.0,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,30.0
53.0,2011-01-03,1,0,1,7.0,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,64.0
54.0,2011-01-03,1,0,1,8.0,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,154.0
55.0,2011-01-03,1,0,1,9.0,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,88.0
56.0,2011-01-03,1,0,1,10.0,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,44.0
57.0,2011-01-03,1,0,1,11.0,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,51.0
58.0,2011-01-03,1,0,1,12.0,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,61.0
59.0,2011-01-03,1,0,1,13.0,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,61.0
60.0,2011-01-03,1,0,1,14.0,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,77.0
61.0,2011-01-03,1,0,1,15.0,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,72.0
62.0,2011-01-03,1,0,1,16.0,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,76.0
63.0,2011-01-03,1,0,1,17.0,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,157.0
64.0,2011-01-03,1,0,1,18.0,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,157.0
65.0,2011-01-03,1,0,1,19.0,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,110.0
66.0,2011-01-03,1,0,1,20.0,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,52.0
67.0,2011-01-03,1,0,1,21.0,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,52.0
68.0,2011-01-03,1,0,1,22.0,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,20.0
69.0,2011-01-03,1,0,1,23.0,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,12.0
70.0,2011-01-04,1,0,1,0.0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,5.0
71.0,2011-01-04,1,0,1,1.0,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2.0
72.0,2011-01-04,1,0,1,2.0,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,1.0
73.0,2011-01-04,1,0,1,4.0,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2.0
74.0,2011-01-04,1,0,1,5.0,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4.0
75.0,2011-01-04,1,0,1,6.0,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,36.0
76.0,2011-01-04,1,0,1,7.0,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,94.0
77.0,2011-01-04,1,0,1,8.0,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,179.0
78.0,2011-01-04,1,0,1,9.0,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,100.0
79.0,2011-01-04,1,0,1,10.0,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,42.0
80.0,2011-01-04,1,0,1,11.0,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,57.0
81.0,2011-01-04,1,0,1,12.0,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,78.0
82.0,2011-01-04,1,0,1,13.0,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,97.0
83.0,2011-01-04,1,0,1,14.0,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,63.0
84.0,2011-01-04,1,0,1,15.0,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,65.0
85.0,2011-01-04,1,0,1,16.0,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,83.0
86.0,2011-01-04,1,0,1,17.0,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,212.0
87.0,2011-01-04,1,0,1,18.0,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,182.0
88.0,2011-01-04,1,0,1,19.0,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,112.0
89.0,2011-01-04,1,0,1,20.0,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,54.0
90.0,2011-01-04,1,0,1,21.0,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,48.0
91.0,2011-01-04,1,0,1,22.0,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,35.0
92.0,2011-01-04,1,0,1,23.0,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,11.0
93.0,2011-01-05,1,0,1,0.0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,6.0
94.0,2011-01-05,1,0,1,1.0,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,6.0
95.0,2011-01-05,1,0,1,2.0,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2.0
96.0,2011-01-05,1,0,1,4.0,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2.0
97.0,2011-01-05,1,0,1,5.0,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,3.0
98.0,2011-01-05,1,0,1,6.0,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,33.0
99.0,2011-01-05,1,0,1,7.0,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,88.0
100.0,2011-01-05,1,0,1,8.0,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,195.0
101.0,2011-01-05,1,0,1,9.0,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,115.0
102.0,2011-01-05,1,0,1,10.0,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,57.0
103.0,2011-01-05,1,0,1,11.0,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,46.0
104.0,2011-01-05,1,0,1,12.0,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,79.0
105.0,2011-01-05,1,0,1,13.0,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,71.0
106.0,2011-01-05,1,0,1,14.0,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,62.0
107.0,2011-01-05,1,0,1,15.0,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,62.0
108.0,2011-01-05,1,0,1,16.0,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,89.0
109.0,2011-01-05,1,0,1,17.0,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,190.0
110.0,2011-01-05,1,0,1,18.0,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,169.0
111.0,2011-01-05,1,0,1,19.0,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,132.0
112.0,2011-01-05,1,0,1,20.0,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,89.0
113.0,2011-01-05,1,0,1,21.0,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,43.0
114.0,2011-01-05,1,0,1,22.0,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,42.0
115.0,2011-01-05,1,0,1,23.0,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,19.0
116.0,2011-01-06,1,0,1,0.0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,11.0
117.0,2011-01-06,1,0,1,1.0,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,4.0
118.0,2011-01-06,1,0,1,2.0,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,2.0
119.0,2011-01-06,1,0,1,4.0,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,1.0
120.0,2011-01-06,1,0,1,5.0,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,4.0
121.0,2011-01-06,1,0,1,6.0,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,36.0
122.0,2011-01-06,1,0,1,7.0,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,95.0
123.0,2011-01-06,1,0,1,8.0,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,219.0
124.0,2011-01-06,1,0,1,9.0,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,122.0
125.0,2011-01-06,1,0,1,10.0,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,45.0
126.0,2011-01-06,1,0,1,11.0,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,59.0
127.0,2011-01-06,1,0,1,12.0,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,84.0
128.0,2011-01-06,1,0,1,13.0,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,67.0
129.0,2011-01-06,1,0,1,14.0,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,70.0
130.0,2011-01-06,1,0,1,15.0,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,62.0
131.0,2011-01-06,1,0,1,16.0,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,86.0
132.0,2011-01-06,1,0,1,17.0,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,172.0
133.0,2011-01-06,1,0,1,18.0,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,163.0
134.0,2011-01-06,1,0,1,19.0,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,112.0
135.0,2011-01-06,1,0,1,20.0,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,69.0
136.0,2011-01-06,1,0,1,21.0,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,48.0
137.0,2011-01-06,1,0,1,22.0,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,52.0
138.0,2011-01-06,1,0,1,23.0,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,23.0
139.0,2011-01-07,1,0,1,0.0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,17.0
140.0,2011-01-07,1,0,1,1.0,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,7.0
141.0,2011-01-07,1,0,1,2.0,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,1.0
142.0,2011-01-07,1,0,1,4.0,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,1.0
143.0,2011-01-07,1,0,1,5.0,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,5.0
144.0,2011-01-07,1,0,1,6.0,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,34.0
145.0,2011-01-07,1,0,1,7.0,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,84.0
146.0,2011-01-07,1,0,1,8.0,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,210.0
147.0,2011-01-07,1,0,1,9.0,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,134.0
148.0,2011-01-07,1,0,1,10.0,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,63.0
149.0,2011-01-07,1,0,1,11.0,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,67.0
150.0,2011-01-07,1,0,1,12.0,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,59.0
151.0,2011-01-07,1,0,1,13.0,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,73.0
152.0,2011-01-07,1,0,1,14.0,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,50.0
153.0,2011-01-07,1,0,1,15.0,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,72.0
154.0,2011-01-07,1,0,1,16.0,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,87.0
155.0,2011-01-07,1,0,1,17.0,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,187.0
156.0,2011-01-07,1,0,1,18.0,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,123.0
157.0,2011-01-07,1,0,1,19.0,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,95.0
158.0,2011-01-07,1,0,1,20.0,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,51.0
159.0,2011-01-07,1,0,1,21.0,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,39.0
160.0,2011-01-07,1,0,1,22.0,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,36.0
161.0,2011-01-07,1,0,1,23.0,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,15.0
162.0,2011-01-08,1,0,1,0.0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,25.0
163.0,2011-01-08,1,0,1,1.0,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,16.0
164.0,2011-01-08,1,0,1,2.0,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,16.0
165.0,2011-01-08,1,0,1,3.0,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,7.0
166.0,2011-01-08,1,0,1,4.0,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,1.0
167.0,2011-01-08,1,0,1,5.0,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,5.0
168.0,2011-01-08,1,0,1,6.0,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,2.0
169.0,2011-01-08,1,0,1,7.0,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,9.0
170.0,2011-01-08,1,0,1,8.0,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,15.0
171.0,2011-01-08,1,0,1,9.0,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,20.0
172.0,2011-01-08,1,0,1,10.0,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,61.0
173.0,2011-01-08,1,0,1,11.0,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,62.0
174.0,2011-01-08,1,0,1,12.0,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,98.0
175.0,2011-01-08,1,0,1,13.0,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,102.0
176.0,2011-01-08,1,0,1,14.0,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,95.0
177.0,2011-01-08,1,0,1,15.0,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,74.0
178.0,2011-01-08,1,0,1,16.0,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,76.0
179.0,2011-01-08,1,0,1,17.0,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,69.0
180.0,2011-01-08,1,0,1,18.0,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,55.0
181.0,2011-01-08,1,0,1,19.0,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,30.0
182.0,2011-01-08,1,0,1,20.0,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,28.0
183.0,2011-01-08,1,0,1,21.0,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,37.0
184.0,2011-01-08,1,0,1,22.0,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,34.0
185.0,2011-01-08,1,0,1,23.0,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,22.0
186.0,2011-01-09,1,0,1,0.0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,25.0
187.0,2011-01-09,1,0,1,1.0,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,12.0
188.0,2011-01-09,1,0,1,2.0,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,11.0
189.0,2011-01-09,1,0,1,3.0,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,4.0
190.0,2011-01-09,1,0,1,4.0,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,1.0
191.0,2011-01-09,1,0,1,5.0,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,1.0
192.0,2011-01-09,1,0,1,6.0,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,1.0
193.0,2011-01-09,1,0,1,7.0,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,6.0
194.0,2011-01-09,1,0,1,8.0,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,10.0
195.0,2011-01-09,1,0,1,9.0,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,19.0
196.0,2011-01-09,1,0,1,10.0,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,49.0
197.0,2011-01-09,1,0,1,11.0,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,49.0
198.0,2011-01-09,1,0,1,12.0,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,83.0
199.0,2011-01-09,1,0,1,13.0,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,75.0
200.0,2011-01-09,1,0,1,14.0,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,72.0
201.0,2011-01-09,1,0,1,15.0,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,82.0
202.0,2011-01-09,1,0,1,16.0,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,92.0
203.0,2011-01-09,1,0,1,17.0,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,62.0
204.0,2011-01-09,1,0,1,18.0,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,48.0
205.0,2011-01-09,1,0,1,19.0,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,41.0
206.0,2011-01-09,1,0,1,20.0,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,38.0
207.0,2011-01-09,1,0,1,21.0,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,20.0
208.0,2011-01-09,1,0,1,22.0,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,15.0
209.0,2011-01-09,1,0,1,23.0,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,6.0
210.0,2011-01-10,1,0,1,0.0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,5.0
211.0,2011-01-10,1,0,1,1.0,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,1.0
212.0,2011-01-10,1,0,1,2.0,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,3.0
213.0,2011-01-10,1,0,1,3.0,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,1.0
214.0,2011-01-10,1,0,1,4.0,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,3.0
215.0,2011-01-10,1,0,1,5.0,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,3.0
216.0,2011-01-10,1,0,1,6.0,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,31.0
217.0,2011-01-10,1,0,1,7.0,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,77.0
218.0,2011-01-10,1,0,1,8.0,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,188.0
219.0,2011-01-10,1,0,1,9.0,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,94.0
220.0,2011-01-10,1,0,1,10.0,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,31.0
221.0,2011-01-10,1,0,1,11.0,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,30.0
222.0,2011-01-10,1,0,1,12.0,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,52.0
223.0,2011-01-10,1,0,1,13.0,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,54.0
224.0,2011-01-10,1,0,1,14.0,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,47.0
225.0,2011-01-10,1,0,1,15.0,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,45.0
226.0,2011-01-10,1,0,1,16.0,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,74.0
227.0,2011-01-10,1,0,1,17.0,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,178.0
228.0,2011-01-10,1,0,1,18.0,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,155.0
229.0,2011-01-10,1,0,1,19.0,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,95.0
230.0,2011-01-10,1,0,1,20.0,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,74.0
231.0,2011-01-10,1,0,1,21.0,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,38.0
232.0,2011-01-10,1,0,1,22.0,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,24.0
233.0,2011-01-10,1,0,1,23.0,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,18.0
234.0,2011-01-11,1,0,1,0.0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,12.0
235.0,2011-01-11,1,0,1,1.0,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,3.0
236.0,2011-01-11,1,0,1,2.0,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,3.0
237.0,2011-01-11,1,0,1,5.0,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,6.0
238.0,2011-01-11,1,0,1,6.0,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,27.0
239.0,2011-01-11,1,0,1,7.0,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,99.0
240.0,2011-01-11,1,0,1,8.0,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,217.0
241.0,2011-01-11,1,0,1,9.0,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,130.0
242.0,2011-01-11,1,0,1,10.0,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,54.0
243.0,2011-01-11,1,0,1,11.0,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,35.0
244.0,2011-01-11,1,0,1,12.0,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,57.0
